model_name,model_type,Disruption of Public Discourse_f1,Disruption of Public Discourse_precision,Disruption of Public Discourse_recall,Glorification of Hate_f1,Glorification of Hate_precision,Glorification of Hate_recall,Incitement to Discrimination/Exclusion_f1,Incitement to Discrimination/Exclusion_precision,Incitement to Discrimination/Exclusion_recall,Incitement to Violence_f1,Incitement to Violence_precision,Incitement to Violence_recall,Misinformation/Disinformation Nexus_f1,Misinformation/Disinformation Nexus_precision,Misinformation/Disinformation Nexus_recall,Normalization of Prejudice_f1,Normalization of Prejudice_precision,Normalization of Prejudice_recall,Psychological Harm_f1,Psychological Harm_precision,Psychological Harm_recall,Stigmatization & Dehumanization_f1,Stigmatization & Dehumanization_precision,Stigmatization & Dehumanization_recall
BERT-base,Encoder,0.7153284671532848,0.784,0.6577181208053692,0.7734806629834255,0.8433734939759037,0.7142857142857143,0.8266666666666667,0.8611111111111112,0.7948717948717948,0.9022556390977443,0.9090909090909091,0.8955223880597015,0.8169934640522876,0.8620689655172413,0.7763975155279503,0.6794871794871796,0.762589928057554,0.6127167630057804,0.8057971014492753,0.7808988764044944,0.8323353293413174,0.7674418604651162,0.825,0.717391304347826
HateBERT,Encoder (Domain),0.6865671641791046,0.773109243697479,0.6174496644295302,0.767123287671233,0.6942148760330579,0.8571428571428571,0.8070175438596492,0.8288288288288288,0.7863247863247863,0.858267716535433,0.9083333333333333,0.8134328358208955,0.7919463087248323,0.8613138686131386,0.7329192546583851,0.6227544910179641,0.6459627329192547,0.6011560693641619,0.8023952095808384,0.8023952095808383,0.8023952095808383,0.7566137566137566,0.7371134020618557,0.7771739130434783
RoBERTa-base,Encoder,0.7667731629392971,0.7317073170731707,0.8053691275167785,0.8556701030927835,0.8645833333333334,0.8469387755102041,0.8398268398268399,0.8508771929824561,0.8290598290598291,0.8988764044943821,0.9022556390977443,0.8955223880597015,0.8410596026490067,0.900709219858156,0.7888198757763976,0.7317073170731707,0.7741935483870968,0.6936416184971098,0.8176795580110497,0.7589743589743589,0.8862275449101796,0.8035190615835777,0.8726114649681529,0.7445652173913043
Twitter-RoBERTa-Hate,Encoder (Domain),0.7552447552447552,0.7883211678832117,0.7248322147651006,0.8085106382978723,0.8444444444444444,0.7755102040816326,0.8270042194092827,0.8166666666666667,0.8376068376068376,0.8793774319066148,0.9186991869918699,0.8432835820895522,0.8197879858657244,0.9508196721311475,0.7204968944099379,0.709141274238227,0.6808510638297872,0.7398843930635838,0.8150134048257373,0.7378640776699029,0.9101796407185628,0.7846607669616519,0.8580645161290322,0.7228260869565217
DistilRoBERTa,Encoder (Light),0.7073170731707317,0.6480446927374302,0.7785234899328859,0.7485380116959064,0.8767123287671232,0.6530612244897959,0.7946428571428571,0.8317757009345794,0.7606837606837606,0.8812260536398467,0.905511811023622,0.8582089552238806,0.8178694158075601,0.9153846153846154,0.7391304347826086,0.6580645161290323,0.7445255474452555,0.5895953757225434,0.8071216617210683,0.8,0.8143712574850299,0.7267267267267267,0.8120805369127517,0.657608695652174
DistilBERT,Encoder (Light),0.7298245614035088,0.7647058823529411,0.697986577181208,0.7794871794871796,0.7835051546391752,0.7755102040816326,0.7982062780269058,0.839622641509434,0.7606837606837606,0.8970588235294118,0.8840579710144928,0.9104477611940298,0.7702702702702704,0.8444444444444444,0.7080745341614907,0.6785714285714285,0.6993865030674846,0.6589595375722543,0.7940298507462688,0.7916666666666666,0.7964071856287425,0.729483282674772,0.8275862068965517,0.6521739130434783
DeBERTa-v3-small,Advanced Encoder,0.7544483985765125,0.803030303030303,0.7114093959731543,0.783068783068783,0.8131868131868132,0.7551020408163265,0.7677725118483413,0.8617021276595744,0.6923076923076923,0.9,0.9285714285714286,0.8731343283582089,0.7669616519174042,0.7303370786516854,0.8074534161490683,0.664516129032258,0.7518248175182481,0.5953757225433526,0.7882736156351792,0.8642857142857143,0.7245508982035929,0.7621483375959079,0.7198067632850241,0.8097826086956522
XLM-RoBERTa-base,Advanced Encoder,0.7430555555555556,0.7697841726618705,0.7181208053691275,0.7865168539325842,0.875,0.7142857142857143,0.8070175438596492,0.8288288288288288,0.7863247863247863,0.8759124087591241,0.8571428571428571,0.8955223880597015,0.8037974683544303,0.8193548387096774,0.7888198757763976,0.6369426751592356,0.7092198581560284,0.5780346820809249,0.8080229226361031,0.7747252747252747,0.844311377245509,0.7323076923076922,0.8439716312056738,0.6467391304347826
ToxicBERT,Advanced Encoder (Domain),0.7526132404181185,0.782608695652174,0.7248322147651006,0.8064516129032258,0.8522727272727273,0.7653061224489796,0.7772925764192139,0.7946428571428571,0.7606837606837606,0.8708487084870848,0.8613138686131386,0.8805970149253731,0.7766323024054983,0.8692307692307693,0.7018633540372671,0.6890243902439024,0.7290322580645161,0.653179190751445,0.823170731707317,0.8385093167701864,0.8083832335329342,0.7592592592592592,0.8785714285714286,0.6684782608695652
ELECTRA-small,Advanced Encoder,0.6691729323308271,0.7606837606837606,0.5973154362416108,0.718562874251497,0.8695652173913043,0.6122448979591837,0.7857142857142856,0.822429906542056,0.7521367521367521,0.874074074074074,0.8676470588235294,0.8805970149253731,0.7041198501872659,0.8867924528301887,0.5838509316770186,0.5106382978723404,0.6605504587155964,0.4161849710982659,0.7840909090909091,0.745945945945946,0.8263473053892215,0.7207207207207207,0.8053691275167785,0.6521739130434783
ELECTRA-base,Advanced Encoder,0.7014925373134328,0.7899159663865546,0.6308724832214765,0.8087431693989071,0.8705882352941177,0.7551020408163265,0.8482142857142857,0.8878504672897196,0.811965811965812,0.8929889298892989,0.8832116788321168,0.9029850746268657,0.8469055374592833,0.8904109589041096,0.8074534161490683,0.6790123456790124,0.7284768211920529,0.6358381502890174,0.8206686930091186,0.8333333333333334,0.8083832335329342,0.7901907356948229,0.7923497267759563,0.7880434782608695
ConvBERT-base,Advanced Encoder,0.7770270270270271,0.782312925170068,0.7718120805369127,0.8135593220338984,0.9113924050632911,0.7346938775510204,0.81981981981982,0.8666666666666667,0.7777777777777778,0.8992805755395685,0.8680555555555556,0.9328358208955224,0.8389261744966442,0.9124087591240876,0.7763975155279503,0.7344632768361583,0.7182320441988951,0.7514450867052023,0.8249258160237388,0.8176470588235294,0.8323353293413174,0.7655786350148368,0.8431372549019608,0.7010869565217391
ALBERT-base-v2,Advanced Encoder,0.7548387096774194,0.7267080745341615,0.785234899328859,0.7868852459016393,0.8470588235294118,0.7346938775510204,0.8181818181818181,0.8737864077669902,0.7692307692307693,0.8888888888888888,0.9133858267716536,0.8656716417910447,0.7973421926910299,0.8571428571428571,0.7453416149068323,0.6443768996960487,0.6794871794871795,0.6127167630057804,0.8369230769230769,0.8607594936708861,0.8143712574850299,0.7768115942028987,0.8322981366459627,0.7282608695652174
BART-base,Encoder-Decoder,0.7707641196013288,0.7631578947368421,0.7785234899328859,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.8250000000000001,0.8048780487804879,0.8461538461538461,0.8769230769230769,0.9047619047619048,0.8507462686567164,0.8191126279863481,0.9090909090909091,0.7453416149068323,0.6643598615916954,0.8275862068965517,0.5549132947976878,0.8328611898016997,0.7903225806451613,0.8802395209580839,0.7861271676300579,0.8395061728395061,0.7391304347826086
DistilBART-cnn,Encoder-Decoder (Light),0.7357142857142858,0.7862595419847328,0.6912751677852349,0.8282828282828283,0.82,0.8367346938775511,0.8169014084507042,0.90625,0.7435897435897436,0.8708487084870848,0.8613138686131386,0.8805970149253731,0.7932203389830509,0.8731343283582089,0.7267080745341615,0.69281045751634,0.7969924812030075,0.6127167630057804,0.8252148997134671,0.7912087912087912,0.8622754491017964,0.7828418230563003,0.7724867724867724,0.7934782608695652
